B1_DESC,B1_DESC_2,Equivalencia,Cantidad,Cantidad Comprobantes,Cant Clientes,80/20,Meses Vendidos,Peso,Ancho,Largo,Alto,Clasificacion CD
ROD2200SKF,2200 E-2RS1TN9,100,123,9,4,0.000059103079092611326,8,0.0515,23,45,47,BC1
ROD2201SKF2,2201 ETN9,110,35,11,3,0.00001573109934093498,8,0.0545,23,45,47,CD2
ROD2202SKF2,2202 ETN9,200,22,10,5,0.000016960162060311334,6,0.0591,23,45,47,CC1
ROD2203SKF2,2203 ETN9,300,2,2,2,0.00000219542501018372,1,0.091,23,60,62,CD2
ROD2204SKF3,2204 ETN9,400,39,18,7,0.00003354503779409553,12,0.136,23,60,62,CD1
ROD2205SKF6,2205 ETN9,500,67,27,20,0.00004457081107252691,17,0.1555,29,65,67,CC1
ROD2205SKF7,2205 ETN9/C3,500,17,2,2,0.00000844289988484233,2,0.1542,29,65,67,CD2
ROD2206SKF6,2206 ETN9,600,138,44,24,0.00008386641684597199,25,0.2515,28,76,78,BC1
ROD2207SKF7,2207 ETN9,700,346,81,44,0.00027096610991075225,31,0.4,30,84,86,AB1
ROD2207SKF8,2207 ETN9/C3,700,11,7,5,0.000010905195171667566,7,0.4,30,84,86,CD1
ROD2208SKF7,2208 ETN9,800,191,67,33,0.00021057802263712484,27,0.5,27,94,96,BB1
ROD2208SKF8,2208 ETN9/C3,800,32,16,10,0.00003112235606395927,11,0.5,27,94,96,CD1
ROD2209SKF6,2209 ETN9,900,70,47,30,0.00007625331672756185,20,0.552,27,94,96,BC1
ROD2209SKF7,2209 ETN9/C3,900,0,2,1,-6.949746787539326E-10,1,0.552,27,94,96,CD9
ROD2210SKF6,2210 ETN9,1000,23,14,12,0.000028938050648635615,9,0.58,29,104,106,CC1
ROD2211SKF6,2211 ETN9,1100,7,6,4,0.000014351922090947768,5,0.796,31,114,116,CD9
ROD2212SKF4,2212 ETN9,1200,33,26,15,0.000054190650575839065,15,1.08,33,124,126,CC1
ROD2213SKF5,2213 ETN9,1300,5,6,4,0.000007639509156202765,4,1.409,35,134,136,CD9
ROD2213SKF6,2213 ETN9/C3,1300,4,1,1,0.000012673558241756986,1,1.419,35,134,136,OO9
ROD2214SKF,2214,1400,21,8,8,0.00006459581146614316,7,1.558,35,134,136,CD1
ROD2215SKF3,2215 ETN9,1500,6,1,1,0.000010914229842491366,1,1.57,40,144,146,OO9
ROD2215SKF4,2215 ETN9/C3,1500,5,7,6,0.00001920840514608035,6,1.61,40,144,146,CD2
ROD2216SKF3,2216 ETN9,1600,4,4,3,0.000013633318273116187,4,1.991,40,144,146,CD2
ROD2205SKF5,2205 EKTN9,1700,29,7,5,0.00001819582703913585,6,0.1475,29,65,67,CD1
ROD2206SKF5,2206 EKTN9,1800,14,9,8,0.000009736247762003427,7,0.2455,28,76,78,CC1
ROD2207SKF5,2207 EKTN9,1900,53,20,16,0.00004506528555646036,15,0.388,30,84,86,CC1
ROD2207SKF6,2207 EKTN9/C3,1900,10,3,3,0.000010430527466078619,3,0.388,30,84,86,CD2
ROD2208SKF5,2208 EKTN9,2000,81,36,19,0.00007947070200285325,19,0.485,27,94,96,BC1
ROD2208SKF6,2208 EKTN9/C3,2000,2,1,1,0.0000018941534869438836,1,0.489,27,94,96,CD9
ROD2209SKF4,2209 EKTN9,2100,268,89,38,0.00028227543285811515,31,0.536,27,94,96,BB1
ROD2209SKF5,2209 EKTN9/C3,2100,46,29,13,0.000057429232578832456,15,0.547,27,94,96,CC1
ROD2210SKF4,2210 EKTN9,2200,80,34,16,0.00011474379433567048,20,0.56,29,104,106,BC1
ROD2210SKF5,2210 EKTN9/C3,2200,4,1,1,0.000004235175692326555,1,0.566,29,104,106,CD9
ROD2211SKF4,2211 EKTN9,2300,127,58,31,0.0002028676260636892,28,0.789,31,114,116,BC1
ROD2211SKF5,2211 EKTN9/C3,2300,10,3,1,0.000009660495522019246,3,0.789,31,114,116,CD9
ROD2212SKF2,2212 EKTN9,2400,89,58,13,0.00017758305730126306,31,1.066,33,124,126,BC1
ROD2213SKF3,2213 EKTN9,2500,127,71,29,0.00030283347883033564,27,1.368,35,134,136,BB1
ROD2213SKF4,2213 EKTN9/C3,2500,27,11,8,0.000047527928330624965,9,1.368,35,134,136,CC1
ROD2215SKF,2215 EKTN9,2600,34,17,12,0.00008982825712766272,13,1.53,40,144,146,BC1
ROD2215SKF2,2215 EKTN9/C3,2600,9,5,5,0.0000270157506872022,4,1.53,40,144,146,CD1
ROD2216SKF,2216 EKTN9,2700,49,25,12,0.00014557877836996502,17,1.96,40,144,146,BC1
ROD2217SKF2,2217 K,2800,7,2,2,0.000024451989097278883,1,2.524,48,157,161,OO9
ROD2218SKF2,2218 K,2900,7,3,2,0.000030048272697945047,3,3.202,47,164,166,CD2
ROD2219SKF,2219 KM,2950,1,1,1,0.000008108964551701059,1,4.241,53,177,181,CD9
ROD2220SKF,2220 KM,3000,8,7,2,0.00013437335413707575,5,5.11,53,187,191,OO9
ROD2220SKF10,2220 M,3010,2,1,1,0.000017614133233018796,1,5.22,53,187,191,CD9
ROD2201SKF,2201 E-2RS1TN9,3090,156,15,8,0.00009608163928709073,10,0.0584,23,45,47,CD1
ROD2202SKF,2202 E-2RS1TN9,3100,255,30,10,0.00011893240672452054,15,0.064,23,45,47,BC1
